customer_id,first_name,last_name,phone,country,age
1,Elana,Bolding,559-942-3231,ID,5
2,Harriet,Elsmore,346-969-0881,NO,46
3,Desiree,Gudde,160-918-6929,CN,29
4,Dell,Geaves,636-548-2539,RS,82
5,Fulvia,Hynes,471-191-5009,ZW,92
6,Gretal,Apfler,806-857-4872,AR,47
7,Husain,Marquess,898-615-6585,DO,30
8,Leoline,Rosewarne,953-122-0706,PT,64
9,Ediva,Wiersma,868-354-1194,CN,30
10,Phillie,Patel,403-600-3458,JP,35
11,Lolly,Crosthwaite,687-593-0246,CA,15
12,Lemuel,Diament,407-419-4696,TN,92
13,Dorolisa,Escoffrey,760-346-5875,CN,86
14,Claudius,Dusting,615-572-6810,ID,16
15,Gray,Alvaro,508-558-6950,ID,98
16,Heindrick,Port,242-156-5209,PH,31
17,Dorri,Stone,449-524-1764,BR,98
18,Kitti,Shalloo,125-742-5822,HN,77
19,Kyle,Sarsfield,494-683-2402,CN,92
20,Patricia,Milburn,884-171-1823,CR,8
21,Jilly,Medlin,553-395-4537,CN,99
22,Claude,Delos,349-972-3472,PH,96
23,Tamar,Forseith,980-108-0750,ID,16
24,Fredrick,O'Dreain,876-564-6451,CN,97
25,Felisha,Rouch,321-349-5161,RS,79
26,Aldric,Gile,642-757-1265,CN,34
27,Jerry,Judkins,887-887-4280,CN,92
28,Dorian,Youhill,285-914-9706,ID,85
29,Blondelle,Danelet,219-215-0493,BR,70
30,Quintilla,Pettigrew,444-694-0952,CO,3
31,Hunter,Denning,304-301-2960,MR,45
32,Hildagard,Featherstonehaugh,939-683-3535,SE,30
33,Skye,Gealle,452-479-6167,VN,75
34,Sylvan,Feak,562-643-5045,FI,43
35,Seumas,Vasilyevski,744-359-4457,PT,34
36,Koressa,Mc Comb,534-846-9501,BR,84
37,Agnella,Kirtley,552-398-7468,CO,80
38,Alden,Welsh,603-149-1691,CA,45
39,Rafaelita,Gallamore,167-744-6785,CN,82
40,Debee,Impett,995-959-0333,RU,97
41,Shelby,Bandey,765-481-4279,SE,9
42,Christian,Winchurch,609-413-7408,US,17
43,Rutter,Padula,364-966-7342,CN,18
44,Francesca,Lasselle,156-518-6891,UA,84
45,Nelly,Daldry,762-748-7008,CN,97
46,Margalit,Beavis,111-656-9862,ID,7
47,Nester,Choudhury,269-313-5981,PH,97
48,Orran,Richarz,578-257-6057,CA,8
49,Emmalyn,Panting,706-729-2638,UA,81
50,Candace,Arr,424-760-4293,BR,89
51,Bari,Snufflebottom,274-128-3438,CN,68
52,Liva,Keepe,270-766-5466,CN,57
53,Cloris,Broomfield,202-104-9320,US,6
54,Gwennie,Morratt,566-445-0864,UZ,51
55,Dorelle,Hugin,360-805-1670,US,36
56,Izak,Tupman,231-696-5157,ID,89
57,Delila,MacGorman,451-380-8461,CN,82
58,Axe,Kleinhausen,964-182-8663,GR,27
59,Hymie,Cops,845-854-0243,FR,76
60,Blake,Rathjen,389-634-2396,PE,92
61,Wilfrid,Wetton,400-469-6689,NI,45
62,Alameda,Futcher,315-721-6630,RU,54
63,Alfonso,Epp,865-540-8137,CN,51
64,Ira,Newsome,925-389-8897,PH,75
65,Billi,Rothery,924-464-0207,DK,19
66,Rodger,Linkleter,621-141-5859,ID,54
67,Alameda,Bruford,818-543-7854,CN,23
68,Denni,Moorton,879-847-1552,PH,59
69,Mona,Giacubo,852-907-6447,FI,32
70,Maddy,Skelhorn,452-969-8393,PE,97
71,Marthena,Hehnke,682-257-9196,FR,65
72,Sadella,Camus,490-636-4506,UA,67
73,Erinn,Spykins,300-468-1933,UG,31
74,Jory,Belchem,495-608-1894,ID,78
75,Shae,Koba,516-195-5697,CN,25
76,Shelia,Laible,365-515-6619,BR,75
